State,Code,Drive Alone,Carpool,Walk,Public Transportation,Other Means,Work at Home
Illinois,IL,72.7,8.3,2.8,9.4,1.7,5.1
Tennessee,TN,83.1,9.0,1.3,0.6,1.3,4.7
North Carolina,NC,80.6,9.3,1.8,1.0,1.2,6.0
Pennsylvania,PA,75.6,8.5,3.5,5.8,1.5,5.1
Oregon,OR,71.7,9.5,3.9,4.2,3.2,7.5
Louisiana,LA,82.7,9.0,1.8,1.2,1.9,3.4
Massachusetts,MA,69.8,7.4,5.1,10.2,2.2,5.3
Wisconsin,WI,81.7,7.5,2.9,1.5,1.5,4.8
Idaho,ID,79.7,8.9,2.5,0.8,1.9,6.2
Mississippi,MS,85.5,8.9,1.4,0.3,1.4,2.6
Connecticut,CT,77.9,8.1,2.6,4.4,1.2,5.7
Ohio,OH,82.4,8.2,2.2,1.6,1.2,4.4
Montana,MT,74.9,9.5,5.5,0.8,2.1,7.3
New Mexico,NM,79.3,11.2,1.8,1.1,1.5,5.1
Rhode Island,RI,81.3,8.1,3.4,2.2,1.2,3.7
New York,NY,53.1,6.3,6.0,28.0,2.1,4.5
Texas,TX,80.7,9.8,1.5,1.3,1.5,5.2
Iowa,IA,81.6,8.1,3.0,1.0,1.2,5.1
Alaska,AK,68.0,12.3,7.8,1.2,5.5,5.3
Kansas,KS,82.0,9.3,2.2,0.5,1.3,4.8
Alabama,AL,86.3,7.9,1.1,0.3,1.0,3.5
Georgia,GA,79.4,9.4,1.5,2.0,1.8,5.9
Michigan,MI,82.0,8.9,2.3,1.4,1.3,4.1
West Virginia,WV,83.3,8.6,2.6,0.9,1.3,3.4
Missouri,MO,82.2,8.4,2.0,1.3,1.2,4.8
Hawaii,HI,67.3,14.7,3.7,5.7,3.2,5.4
Maine,ME,77.8,9.9,4.1,0.6,1.7,6.0
Delaware,DE,79.6,9.1,2.4,2.2,1.1,5.7
Virginia,VA,76.7,9.1,2.2,4.5,1.9,5.6
Arizona,AZ,76.1,11.0,1.7,1.7,2.7,6.8
North Dakota,ND,82.2,8.7,3.4,0.7,1.2,3.7
New Hampshire,NH,80.8,7.4,2.6,0.9,1.5,6.9
South Dakota,SD,81.1,8.8,2.8,0.2,0.9,6.2
New Jersey,NJ,70.9,8.2,2.6,11.7,2.0,4.7
South Carolina,SC,81.4,9.4,2.1,0.6,1.5,5.0
Oklahoma,OK,82.5,9.5,2.0,0.5,1.4,4.1
Utah,UT,75.7,11.1,2.4,2.2,1.6,6.9
Indiana,IN,82.9,8.9,1.9,0.9,1.5,3.9
Kentucky,KY,82.4,9.4,2.0,1.0,1.2,4.1
Maryland,MD,74.3,8.8,2.1,7.9,1.6,5.2
Florida,FL,79.1,9.4,1.4,1.7,2.4,6.2
Wyoming,WY,75.8,10.2,4.3,1.2,2.3,6.2
Washington,WA,71.0,9.8,3.7,7.0,2.1,6.5
Colorado,CO,74.9,8.6,3.0,2.8,2.2,8.6
Vermont,VT,75.4,9.0,5.2,0.9,2.1,7.5
Arkansas,AR,82.6,10.4,1.5,0.4,1.3,3.7
California,CA,73.8,10.0,2.6,4.9,2.6,6.0
Minnesota,MN,77.7,8.4,2.8,3.5,1.5,6.1
Nebraska,NE,82.1,8.7,2.5,0.6,1.1,5.1
Nevada,NV,78.3,10.5,1.8,2.9,2.4,4.2
