State ID,State,Commute Type,Rate
1,Alabama,Drive Alone,86.3
1,Alabama,Carpool,7.9
1,Alabama,Work at Home,3.5
1,Alabama,Walk,1.1
1,Alabama,Other Means,1
1,Alabama,Public Transportation,0.3
2,Alaska,Drive Alone,68
2,Alaska,Carpool,12.3
2,Alaska,Walk,7.8
2,Alaska,Other Means,5.5
2,Alaska,Work at Home,5.3
2,Alaska,Public Transportation,1.2
4,Arizona,Drive Alone,76.1
4,Arizona,Carpool,11
4,Arizona,Work at Home,6.8
4,Arizona,Other Means,2.7
4,Arizona,Public Transportation,1.7
4,Arizona,Walk,1.7
5,Arkansas,Drive Alone,82.6
5,Arkansas,Carpool,10.4
5,Arkansas,Work at Home,3.7
5,Arkansas,Walk,1.5
5,Arkansas,Other Means,1.3
5,Arkansas,Public Transportation,0.4
6,California,Drive Alone,73.8
6,California,Carpool,10
6,California,Work at Home,6
6,California,Public Transportation,4.9
6,California,Other Means,2.6
6,California,Walk,2.6
8,Colorado,Drive Alone,74.9
8,Colorado,Carpool,8.6
8,Colorado,Work at Home,8.6
8,Colorado,Walk,3
8,Colorado,Public Transportation,2.8
8,Colorado,Other Means,2.2
9,Connecticut,Drive Alone,77.9
9,Connecticut,Carpool,8.1
9,Connecticut,Work at Home,5.7
9,Connecticut,Public Transportation,4.4
9,Connecticut,Walk,2.6
9,Connecticut,Other Means,1.2
10,Delaware,Drive Alone,79.6
10,Delaware,Carpool,9.1
10,Delaware,Work at Home,5.7
10,Delaware,Walk,2.4
10,Delaware,Public Transportation,2.2
10,Delaware,Other Means,1.1
11,District of Columbia,Public Transportation,34.4
11,District of Columbia,Drive Alone,34.2
11,District of Columbia,Walk,13.3
11,District of Columbia,Other Means,6.8
11,District of Columbia,Work at Home,6.1
11,District of Columbia,Carpool,5.1
12,Florida,Drive Alone,79.1
12,Florida,Carpool,9.4
12,Florida,Work at Home,6.2
12,Florida,Other Means,2.4
12,Florida,Public Transportation,1.7
12,Florida,Walk,1.4
13,Georgia,Drive Alone,79.4
13,Georgia,Carpool,9.4
13,Georgia,Work at Home,5.9
13,Georgia,Public Transportation,2
13,Georgia,Other Means,1.8
