state_code,county_code,date_local,site_address,pm_25_ug_m3,pm25_aqi
47,65,5/31/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,5.2,22
47,65,5/31/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,5.2,22
47,65,5/31/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,5.2,22
47,65,5/31/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,5.2,22
47,65,5/31/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,5.208333,
47,65,5/30/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,5.9,25
47,65,5/30/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,5.9,25
47,65,5/30/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,5.9,25
47,65,5/30/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,5.9,25
47,65,5/30/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,5.929167,
47,65,5/29/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,6,25
47,65,5/29/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,6,25
47,65,5/29/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,6,25
47,65,5/29/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,6,25
47,65,5/29/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,6.058333,
47,65,5/28/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4.4,18
47,65,5/28/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4.4,18
47,65,5/28/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4.4,18
47,65,5/28/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4.4,18
47,65,5/28/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4.441667,
47,65,5/27/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,5.2,22
47,65,5/27/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,5.2,22
47,65,5/27/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,5.2,22
47,65,5/27/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,5.2,22
47,65,5/27/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,5.2375,
47,65,5/26/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,7.4,31
47,65,5/26/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,7.4,31
47,65,5/26/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,7.4,31
47,65,5/26/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,7.4,31
47,65,5/26/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,7.429167,
47,65,5/25/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,8.3,35
47,65,5/25/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,8.3,35
47,65,5/25/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,8.3,35
47,65,5/25/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,8.3,35
47,65,5/25/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,8.391667,
47,65,5/24/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,7.2,30
47,65,5/24/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,7.2,30
47,65,5/24/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,7.2,30
47,65,5/24/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,7.2,30
47,65,5/24/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,7.2125,
47,65,5/23/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,7.6,32
47,65,5/23/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,7.6,32
47,65,5/23/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,7.6,32
47,65,5/23/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,7.6,32
47,65,5/23/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,7.670833,
47,65,5/22/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,6.7,28
47,65,5/22/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,6.7,28
47,65,5/22/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,6.7,28
47,65,5/22/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,6.7,28
47,65,5/22/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,6.770833,
47,65,5/21/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4.8,20
47,65,5/21/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4.8,20
47,65,5/21/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4.8,20
47,65,5/21/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4.8,20
47,65,5/21/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4.8,
47,65,5/20/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4.2,18
47,65,5/20/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4.2,18
47,65,5/20/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4.2,18
47,65,5/20/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4.2,18
47,65,5/20/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4.295833,
47,65,5/19/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,5.1,21
47,65,5/19/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,5.1,21
47,65,5/19/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,5.1,21
47,65,5/19/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,5.1,21
47,65,5/19/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,5.182609,
47,65,5/18/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4.8,20
47,65,5/18/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4.8,20
47,65,5/18/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4.8,20
47,65,5/18/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4.8,20
47,65,5/18/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4.891667,
47,65,5/17/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,10.5,44
47,65,5/17/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,10.5,44
47,65,5/17/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,10.5,44
47,65,5/17/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,10.5,44
47,65,5/17/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,10.545833,
47,65,5/16/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,12,50
47,65,5/16/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,12,50
47,65,5/16/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,12,50
47,65,5/16/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,12,50
47,65,5/16/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,12.091667,
47,65,5/15/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,9.2,38
47,65,5/15/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,9.2,38
47,65,5/15/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,9.2,38
47,65,5/15/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,9.2,38
47,65,5/15/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,9.229167,
47,65,5/14/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,10.6,44
47,65,5/14/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,10.6,44
47,65,5/14/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,10.6,44
47,65,5/14/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,10.6,44
47,65,5/14/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,10.604167,
47,65,5/13/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,8.9,37
47,65,5/13/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,8.9,37
47,65,5/13/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,8.9,37
47,65,5/13/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,8.9,37
47,65,5/13/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,8.975,
47,65,5/12/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,5.9,25
47,65,5/12/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,5.9,25
47,65,5/12/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,5.9,25
47,65,5/12/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,5.9,25
47,65,5/12/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,5.9,
47,65,5/11/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4,17
47,65,5/11/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4,17
47,65,5/11/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4,17
47,65,5/11/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4,17
47,65,5/11/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4.091667,
47,65,5/10/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,5.2,22
47,65,5/10/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,5.2,22
47,65,5/10/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,5.2,22
47,65,5/10/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,5.2,22
47,65,5/10/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,5.216667,
47,65,5/9/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4.2,18
47,65,5/9/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4.2,18
47,65,5/9/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4.2,18
47,65,5/9/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4.2,18
47,65,5/9/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4.279167,
47,65,5/8/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,5,21
47,65,5/8/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,5,21
47,65,5/8/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,5,21
47,65,5/8/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,5,21
47,65,5/8/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,5.025,
47,65,5/7/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4.6,19
47,65,5/7/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4.6,19
47,65,5/7/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4.6,19
47,65,5/7/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4.6,19
47,65,5/7/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4.616667,
47,65,5/6/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4.7,20
47,65,5/6/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4.7,20
47,65,5/6/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4.7,20
47,65,5/6/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4.7,20
47,65,5/6/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,4.770833,
47,65,5/5/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,6.4,27
47,65,5/5/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,6.4,27
47,65,5/5/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,6.4,27
47,65,5/5/2020,RIVERSIDE SUBSTATION  911 SISKIN DR,6.4,27
